,runtime,director,writer,actors
586,2h 11m,['Zhao Wei'],['Qiang Li'],"[' (Zheng Wei)', ' (Queen)', ' (Dream Bird)', ' (Lin Jing)', ' (Lao Zhang)', ' (Xu Kaiyang)', ' (Xiao Pang)', ' (College Student)', ' (Fat Girl)']"
587,1h 31m,['Jimmy Hayward'],"['John J. Strauss', 'David I. Stern']","[' (Reggie (voice))', ' (Jake (voice))', ' (Jenny (voice))', ' (S.T.E.V.E. (voice))', ' (Myles Standish (voice))', ' (Chief Broadbeak (Voice))', ' (Governor William Bradford (voice))', ' (Ranger / Leatherbeak / President / Hazmats (voice))', ' (General Sagan / Hazmats (voice))']"
588,1h 53m,['Ruben Fleischer'],['Will Beall'],"["" (John O'Mara)"", ' (Sgt. Jerry Wooters)', ' (Mickey Cohen)', ' (Bill Parker)', ' (Grace Faraday)', ' (Coleman Harris)', ' (Conway Keeler)', ' (Max Kennard)', ' (Navidad Ramirez)']"
589,2h 2m,['Eugenio Derbez'],"['Eugenio Derbez', 'Guillermo Ríos', 'Guillermo Ríos', 'Leticia López Margalli', 'Leticia López Margalli']","[' (Valentín)', ' (Maggie)', ' (Julie)', ' (Frank Ryan)', ' (Johnny Bravo)', ' (Judeisy)', ' (Lupe)', ' (Jackie)', ' (Abogado Julie)']"
590,1h 38m,['Stephen Frears'],[],"[' (Philomena)', ' (Martin Sixsmith)', ' (Young Philomena)', ' (Mary Hess)', ' (Sister Hildegarde)', ' (Mother Barbara)', ' (Pete Olsson)', ' (Michael Hess)', ' (Jane)']"
591,1h 39m,['Woody Allen'],[],"[' (Hal)', ' (Jasmine)', ' (Al)', ' (Chili)', ' (Augie)', ' (Ginger)', ' (Dwight)', ' (Dr. Flicker)', "" (Jasmine's Friend Jane)""]"
592,2h 14m,['Tsui Hark'],"['Tsui Hark', 'Kuo-Fu Chen', 'Chang Chia-lu']","[' (Detective Dee)', ' (Yin Ruiji)', ' (Yuchi Zhenjin)', ' (Yuan Zhen)', ' (Empress Wu)', ' (Doctor Wang Pu)', ' (The Emperor)', ' (Shatuo Zhong)', ' (Huo Yi)']"
593,1h 59m,['David Twohy'],['David Twohy'],"[' (Riddick)', ' (Boss Johns)', ' (Dahl)', ' (Santana)', ' (Diaz)', ' (Lord Vaako)', ' (Moss)', ' (Luna)', ' (Krone)']"
594,1h 55m,['Lasse Hallström'],[],"[' (Katie Feldman)', ' (Alex Wheatley)', ' (Jo)', ' (Kevin Tierney)', ' (Lexie)', ' (Josh)', ' (Mrs. Feldman)', ' (Maddie)', ' (Roger)']"
595,1h 31m,['Fede Álvarez'],[],"[' (Mia Allen)', ' (David Allen)', ' (Eric)', ' (Olivia)', ' (Natalie)', ' (Teenager)', ' (Harold)', ' (Old Woman)', ' (Toothless Redneck)']"
596,2h 8m,['Brian Helgeland'],[],"[' (Jackie Robinson)', ' (Branch Rickey)', ' (Rachel Robinson)', ' (Leo Durocher)', ' (Dixie Walker)', ' (Pee Wee Reese)', ' (Wendell Smith)', ' (Ben Chapman)', ' (Ralph Branca)']"
597,2h 10m,['Harald Zwart'],[],"[' (Clary Fray)', ' (Jace Wayland)', ' (Simon Lewis)', ' (Alec Lightwood)', ' (Isabelle Lightwood)', ' (Jocelyn Fray)', ' (Luke Garroway)', ' (Hodge Starkweather)', ' (Valentine)']"
598,1h 50m,['Ding Sheng'],[],"[' (Zhong Wen)', ' (Wu Jiang)', ' (Miao Miao)', ' (Lan Lan)', ' (General Manager Niu)', ' (Na Na)', ' (Wei Xiao Fu)', ' (Captain Wu)', ' (Chief Zhang)']"
599,1h 59m,['Shawn Levy'],['Vince Vaughn'],"[' (Billy McMahon)', ' (Nick Campbell)', ' (Dana Simms)', ' (Roger Chetty)', ' (Graham Hawtrey)', ' (Lyle Spaulding)', ' (Stuart Twombly)', ' (Neha Patel)', ' (Yo-Yo Santos)']"
600,1h 26m,['James DeMonaco'],['James DeMonaco'],"[' (James Sandin)', ' (Mary Sandin)', ' (Charlie Sandin)', ' (Zoey Sandin)', ' (Bloody Stranger)', ' (Polite Leader)', ' (Henry)', ' (Mrs. Grace Ferrin)', ' (Mr. Cali)']"
601,2h 51m,['Vijay Krishna Acharya'],['Vijay Krishna Acharya'],"[' (Sahir/Samar)', ' (A.C.P. Jai Dixit)', ' (Aaliya)', ' (Ali)', ' (Iqbal Khan)', ' (Victoria Williams)', ' (Anderson)', ' (Indian news reporter)', ' (Bank Teller)']"
602,2h 10m,['Michael Bay'],[],"[' (Daniel Lugo)', ' (Paul Doyle)', ' (Adrian Doorbal)', ' (Victor Kershaw)', ' (Ed DuBois)', ' (John Mese)', ' (Sorina Luminita)', ' (Ramona Eldridge)', ' (Johnny Wu)']"
603,19m,['Joseph Megel'],[],[]
604,1h 52m,['Peter Ho-Sun Chan'],"['Zhou Zhiyong', 'Aubrey Lam Oi-Wah', 'Zhang Ji']","[' (成冬青)', ' (孟晓骏)', ' (王阳)', ' (苏梅)', ' (许文)', ' (牛咏啸)', ' (片警)', ' (良琴)', ' (Board Executive)']"
605,2h 7m,['Bong Joon-ho'],[],"[' (Curtis Everett)', ' (Namgoong Minsu)', ' (Gilliam)', ' (Minister Mason)', ' (Edgar)', ' (Tanya)', ' (Minister Wilford)', ' (Andrew)', ' (Yona)']"
606,1h 40m,['Kimberly Peirce'],[],"[' (Carrie White)', ' (Margaret White)', ' (Sue Snell)', ' (Tommy Ross)', ' (Billy Nolan)', ' (Miss Desjardin)', ' (Chris Hargensen)', ' (Tina Blake)', ' (Heather)']"
607,2h 3m,['Xiaolu Xue'],['Xiaolu Xue'],"[' (Jiajia)', ' (Frank)', ' (Joe)', ' (Moon)', ' (Mrs. Huang)', ' (Lao Zhong)', ' (Mrs. Zhong)', ' (Dr. Tang)', ' (Julie)']"
608,2h 24m,['Takashi Yamazaki'],"['Takashi Yamazaki', 'Tamio Hayashi']","[' (Kyuzo Miyabe)', ' (Kentaro Saeki)', ' (Matsuno)', ' (Kenichiro)', ' (Sayako)', ' (Keiko Saeki)', ' (Kageura)', ' (Isaki)', "" (Saeki's Friend)""]"
609,2h 7m,['Lee Hwan-kyung'],[],"[' (Lee Yong-gu)', ' (Ye-seung)', ' (Young Ye-seung)', ' (Jang Min-hwan)', ' (So Yang-ho)', ' (Choi Chun-ho)', ' (Kang Man-beom)', ' (Shin Bong-shik)', ' (Old Man Seo)']"
610,2h 7m,['Lee Hwan-kyung'],[],"[' (Lee Yong-gu)', ' (Ye-seung)', ' (Young Ye-seung)', ' (Jang Min-hwan)', ' (So Yang-ho)', ' (Choi Chun-ho)', ' (Kang Man-beom)', ' (Shin Bong-shik)', ' (Old Man Seo)']"
611,2h 7m,['Yang Woo-seok'],[],"[' (Song Woo-seok)', ' (Choi Sun-ae)', ' (Park Dong-ho)', ' (Park Jin-woo)', ' (Cha Dong-yeong)', ' (Kang Byeong-chul)', ' (Lee Seok-ju)', ' (Lee Yoon-taek)', ' (Kim Sang-pil)']"
612,1h 36m,['Robert Schwentke'],"['Matt Manfredi', 'Phil Hay', 'David Dobkin']","[' (Roy Pulsipher)', ' (Nick Walker)', ' (Bobby Hayes)', ' (Proctor)', ' (Julia)', ' (Nawlicki)', "" (Nick's Avatar / Jerry Chen)"", "" (Roy's Avatar)"", ' (Elliot)']"
613,1h 56m,['Guo Jingming'],['Guo Jingming'],"[' (Lin Xiao)', ' (Gu Li  / Lily)', ' (Nan Xiang)', ' (Tang Wanru)', ' (Gu Yuan)', ' (Jian Xi)', ' (Gong Ming)', ' (Zhou Chongguang)', ' (Ye Chuanping)']"
614,1h 59m,['Bora Dağtekin'],"['Bora Dağtekin', 'Simon Hauschild']","[' (Zeki Müller)', ' (Lisi Schnabelstedt)', ' (Gudrun Gerster)', ' (Charlie)', ' (Caro)', ' (Chantal)', ' (Danger)', ' (Laura)', ' (Zeynep)']"
615,2h 11m,['Brian Percival'],['Michael Petroni'],"[' (Hans Hubermann)', ' (Liesel Meminger)', ' (Rosa Hubermann)', ' (Rudy Steiner)', ' (Max Vandenburg)', "" (Liesel's mother)"", ' (Ilsa Hermann)', ' (Narrator / Death (voice))', ' (Bürgermeister Hermann)']"
616,1h 29m,['Cal Brunker'],"['Cal Brunker', 'Bob Barlen']","[' (Gary Supernova (voice))', ' (Scorch Supernova (voice))', ' (Lena (voice))', ' (Hawk (voice))', ' (Kira Supernova (voice))', ' (Mr Bing (voice))', ' (Ralph (voice) (uncredited))', ' (Gabby (voice))', ' (3D Movie Girl (voice))']"
617,2h 1m,['John Wells'],[],"[' (Barbara Weston)', ' (Violet Weston)', ' (Ivy Weston)', ' (Karen Weston)', ' (Bill Fordham)', ' (Mattie Fae Aiken)', ' (Jean Fordham)', ' (Charlie Aiken)', ' (Steve Huberbrecht)']"
618,2h 3m,['Malcolm D. Lee'],['Malcolm D. Lee'],"[' (Quentin)', ' (Julian Murch)', ' (Lance Sullivan)', ' (Robyn)', ' (Harper Stewart)', ' (Candace)', ' (Jordan Armstrong)', ' (Mia Morgan)', ' (Shelby)']"
619,1h 57m,['Ridley Scott'],['Cormac McCarthy'],"[' (The Counselor)', ' (Laura)', ' (Malkina)', ' (Reiner)', ' (Westray)', ' (Diamond Dealer)', ' (Ruth)', ' (Wireman)', ' (Tony)']"
620,1h 47m,['Morgan Spurlock'],[],"[' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)', ' (Self)']"
621,2h 11m,['Fyodor Bondarchuk'],[],"[' (Kapitan Kan)', ' (Masha)', ' (Gottfried)', ' (Khenze)', ' (Katya)', ' (Polyakov)', ' (Krasnov)', ' (Kapitan Gromov)', ' (Sergey Astakhov)']"
622,2h 10m,['Wong Kar-Wai'],[],"[' (Ip Man)', ' (Gong Er)', ' (Razor)', ' (Ding Lianshan)', ' (San Jiang Shui)', ' (Zhang Yongcheng)', ' (Master Gong Yutian)', ' (Ma San)', ' (Jiang)']"
623,1h 46m,['Steven Soderbergh'],[],"[' (Emily Taylor)', ' (Jonathan Banks)', ' (Dr. Victoria Siebert)', ' (Martin Taylor)', ' (Dierdre Banks)', ' (Mrs. Taylor)', ' (Eileen Spicer)', ' (Carl)', ' (Kayla)']"
624,2h 5m,['Andrew Niccol'],[],"[' (Melanie Stryder / Wanda)', ' (The Seeker / Lacey)', ' (Jared Howe)', "" (Ian O'Shea)"", ' (Jeb Stryder)', ' (Maggie Stryder)', ' (Jamie Stryder)', "" (Kyle O'Shea)"", ' (Seeker Reed)']"
625,2h 5m,['Andrew Niccol'],[],"[' (Melanie Stryder / Wanda)', ' (The Seeker / Lacey)', ' (Jared Howe)', "" (Ian O'Shea)"", ' (Jeb Stryder)', ' (Maggie Stryder)', ' (Jamie Stryder)', "" (Kyle O'Shea)"", ' (Seeker Reed)']"
626,1h 28m,['Brad Furman'],"['David Levien', 'Brian Koppelman']","[' (Richie Furst)', ' (Ivan Block)', ' (Rebecca Shafran)', ' (Shavers)', "" (Billy 'Pet' Petricoff)"", ' (Andrew Cronin)', ' (Wilson)', ' (Delegate Herrera)', ' (Harry Furst)']"
627,2h 20m,['Han Jae-rim'],[],"[' (Nae-kyung)', ' (Grand Prince Soo-yang)', ' (Kim Jong-seo)', ' (Paeng-heon)', ' (Jin-hyeong)', ' (Yeon-hong)', ' (Han Myung-hoi)', ' (Dan-jong)', ' (King Mun-jong)']"
628,1h 43m,['Jeff Wadlow'],[],"[' (Dave Lizewski / Kick-Ass)', ' (Mindy Macready / Hit Girl)', "" (Chris D'Amico / The Motherfucker)"", ' (Katie Deauxma)', ' (Colonel Stars and Stripes)', ' (Uncle Ralph)', ' (Marty / Battle Guy)', ' (Night Bitch)', ' (Mr. Lizewski)']"
629,1h 26m,['Michael Tiddes'],"['Marlon Wayans', 'Rick Alvarez']","[' (Malcolm)', ' (Keisha)', ' (Chip the Psychic)', ' (Father Williams)', ' (Dan the Security Man)', ' (Bob)', ' (Carmita)', ' (Juanita)', ' (Rosa)']"
630,2h 4m,['Richard LaGravenese'],[],"[' (Ethan Wate)', ' (Lena Duchannes)', ' (Macon Ravenwood)', ' (Amma Treadeau)', ' (Ridley Duchaness)', ' (Wesley ""Link"" Lincoln)', ' (Mrs. Lincoln / Sarafine Duchannes)', ' (Emmaline Duchannes)', ' (Delphine Duchannes)']"
631,1h 52m,['Ric Roman Waugh'],[],"[' (John Matthews)', ' (Agent Cooper)', ' (Joanne Keeghan)', ' (Juan Carlos ""El Topo"" Pintera)', ' (Malik)', ' (Sylvie Collins)', ' (Analisa)', ' (Jay Price)', ' (Daniel James)']"
632,2h 35m,['Philipp Stölzl'],[],"[' (Rob Cole)', ' (Ibn Sina (Avicenna))', ' (Barber)', ' (Shah Ala ad Daula)', ' (Rebecca)', ' (Karim)', ' (Davout Hosein)', ' (Imam)', ' (Mirdin)']"
633,1h 45m,['Alan Yuen'],[],"[' (Inspector Lui)', ' (To Sing Bong)', ' (Yan Bing)', ' (Cao Nan)', ' (Paco)', ' (Yiu-Yiu)', ' (Tony Keung)', ' (Jackal)', ' (Chiu Kin Kwok)']"
634,1h 57m,['Jean-Marc Vallée'],"['Melisa Wallack', 'Craig Borten']","[' (Ron Woodroof)', ' (Eve)', ' (Rayon)', ' (Dr. Sevard)', ' (Tucker)', ' (Richard Barkley)', ' (David Wayne)', ' (Dr. Vass)', ' (T.J.)']"
635,1h 40m,['Tyler Perry'],[],"[' (Madea)', ' (Eileen)', ' (Lacey)', ' (Conner)', ' (Kim)', ' (Buddy)', ' (Tanner McCoy)', ' (Amber)', ' (Bailey)']"
636,1h 51m,['Tyler Perry'],[],"[' (Judith)', ' (Brice)', ' (Harley Madison)', ' (Melinda)', ' (Ava)', ' (Janice)', ' (Ms. Waco-Chapman)', ' (Sarah)', ' (Marriage Counselor)']"
637,1h 45m,['Ken Scott'],[],"[' (David)', ' (Emma)', ' (Brett)', ' (Kristen)', ' (Josh)', ' (Aleksy)', ' (Mikolaj)', ' (Victor)', ' (Adam)']"
638,1h 55m,['Felix Herngren'],[],"[' (Allan Karlsson)', ' (Julius)', ' (Benny)', ' (Gunilla)', ' (Gunnar ""Gäddan"" Gärdin)', ' (Hans ""Hinken"" Claesson)', ' (Caracas)', ' (Pim)', ' (Bulten)']"
639,1h 25m,['Masahiro Hosoda'],[],"[' (Son Goku / Son Gohan / Son Goten (voice))', ' (Beerus (voice))', ' (Whis (voice))', ' (Vegeta (voice))', ' (Bulma Briefs (voice))', ' (Kaio / Dr. Briefs / Narrator (voice))', ' (Piccolo (voice))', ' (Oracle Fish (voice))', ' (Shenlong (voice))']"
640,2h,['Ryoo Seung-wan'],"['Ryoo Seung-wan', 'Ryoo Seung-wan']","[' (Pyo Jong-seong)', ' (Jung Jin-soo)', ' (Dong Myung-soo)', ' (Ryun Jung-hee)', ' (Lee Hak-soo)', ' (NIS Agent)', ' (NIS Agent)', ' (North Korean Embassy Official)', ' (NIS Agent)']"
641,1h 50m,['Chip Rossetti'],['Chip Rossetti'],"[' (Chelsea Monroe)', ' (Linda Phillips)', ' (Pastor)', ' (Gary)', ' (Paul Jessup)', ' (Sgt. Bryan Monroe)']"
642,1h 47m,['Kim Jee-woon'],"['Andrew Knauer', 'George Nolfi', 'Jeffrey Nachmanoff']","[' (Sheriff Ray Owens)', ' (Lewis Dinkum)', ' (Sarah Torrance)', ' (Jerry Bailey)', ' (Agent Devers)', ' (Christie)', ' (Magnet Girl)', ' (Agent Mitchell)', ' (Agent John Bannister)']"
643,2h 6m,['Spike Jonze'],['Spike Jonze'],"[' (Theodore)', ' (Samantha (voice))', ' (Letter Writer #1)', ' (Letter Writer #2)', ' (Letter Writer #3)', ' (Paul)', ' (Text Voice (voice))', ' (Sexy Pregnant TV Star)', ' (Catherine)']"
644,1h 33m,"['Scott Moore', 'Jon Lucas']",[],"[' (Casey)', ' (Jeff Chang)', ' (Miller)', ' (Nicole)', ' (Randy)', ' (Dr. Chang)', ' (Pledge Gomez)', ' (Sally Huang)', ' (Julian)']"
645,2h 2m,['Sun Jianjun'],[],"[' (Xiao Jinhan)', ' (Lin Yuyan)', ' (Yamamoto)', ' (Lisa)', ' (The Empress)', ' (Commissioner Kong)', ' (Phoenix TV reporter)', ' (Leo)', ' (Aries)']"
646,2h 2m,['Sun Jianjun'],[],"[' (Xiao Jinhan)', ' (Lin Yuyan)', ' (Yamamoto)', ' (Lisa)', ' (The Empress)', ' (Commissioner Kong)', ' (Phoenix TV reporter)', ' (Leo)', ' (Aries)']"
647,2h 20m,['Derek Cianfrance'],"['Derek Cianfrance', 'Ben Coccio']","[' (Luke Glanton)', ' (Romina Gutierrez)', ' (Avery Cross)', ' (Jennifer Cross)', ' (Peter Deluca)', ' (Jason Kancam)', ' (AJ Cross)', ' (Kofi Kancam)', ' (Bill Killcullen)']"
648,1h 58m,['Taylor Hackford'],[],"[' (Parker)', ' (Leslie Rodgers)', ' (Melander)', ' (Carlson)', ' (Ross)', ' (Jake Fernandez)', ' (Ascension)', ' (Norte)', ' (August Hardwicke)']"
649,1h 30m,['Justin Zackham'],[],"[' (Don Griffin)', ' (Ellie Griffin)', "" (Alejandro 'Alex' Soto Griffin)"", "" (Missy O'Connor)"", "" (Beatrice 'Bebe' McBride)"", ' (Lyla Griffin)', ' (Jared Griffin)', "" (Muffin O'Connor)"", "" (Barry O'Connor)""]"
650,1h 38m,['Wong Tsz Ming'],"['Fengxiang Yang', 'Charcoal Tan']","[' (Huang Feihong)', ' (Wang Buer)', ' (Liu Jinshui)', ' (Angela)', ' (Dai Yiyi)', ' (Liu Jun)', "" (Liu Jinshui's Uncle)"", ' (Bodyguard)', ' (Man in Black)']"
651,1h 49m,['Edgar Wright'],"['Edgar Wright', 'Simon Pegg']","[' (Gary King)', ' (Andrew Knightley)', ' (Oliver Chamberlain)', ' (Steven Prince)', ' (Peter Page)', ' (Sam Chamberlain)', ' (Guy Shepherd)', ' (Basil)', ' (Shane Hawkins)']"
652,1h 53m,['Peter Segal'],['Tim Kelleher'],"["" (Billy 'The Kid' McDonnen)"", "" (Henry 'Razor' Sharp)"", "" (Louis 'Lightning' Conlon)"", ' (B.J. Rose)', ' (Dante Slate, Jr.)', ' (Young Sally)', ' (Sally Rose)', ' (Frankie Brite)', ' (McDonnen Car Salesman)']"
653,2h 20m,['Benny Chan'],"['Benny Chan', 'Manfred Wong Man-Chun', 'Ram Ling Chi-Man', 'Wong Chun', 'Tam Wai-Ching']","[' (Wai)', ' (Ma Ho-Tin)', ' (Chow)', ' (Chloe Yuan)', ' (Hak Tsai)', ' (Bobby)', ' (Eight-Face Buddha)', ' (Wong Shun-Yik)', ' (Mr Choowit)']"
654,1h 34m,['Reinhard Klooss'],"['Reinhard Klooss', 'Jessica Postigo', 'Yoni Brenner']","[' (Tarzan (voice))', ' (Jane (voice))', ' (Porter (voice))', ' (Clayton (voice))', ' (Smith (voice))', ' (Greystoke (voice))', ' (Alice (voice))', ' (Derek (voice))', ' (Tarzan Kid (voice))']"
655,2h 4m,['Jang Cheol-soo'],[],"[' (Won Ryu-hwan / Bang Dong-gu)', ' (Lee Hae-rang)', ' (Lee Hae-jin)', ' (Kim Tae-won)', ' (Seo Sang-gu)', ' (Seo Soo-hyuk)', ' (Mr. Park)', ' (Jo Doo-seok)', ' (Ran)']"
656,1h 48m,['Guan Hu'],"['Guan Hu', 'Run Nian Dong']","[' (The Chef)', ' (The Actor)', ' (The Scoundrel)', "" (Chef's wife)"", ' (Chief detective)', ' (Second Lieutenant Sakura Yanagida)', ' (Japanese commander)', ' (Captain Igarashi)', ' (Lieutenant Shinichi Sugai)']"
657,1h 44m,['Yukiyo Teramoto'],['Higashi Shimizu'],"[' (Doraemon (voice))', ' (Nobita (voice))', ' (Shizuka (voice))', ' (Gian (voice))', ' (Suneo (voice))', ' (Dorami (voice))', ' (Tamako Nobi (voice))', ' (Sewashi (voice))', ' (Osaru Mukashi (voice))']"
658,2h 9m,['Joshua Michael Stern'],['Matt Whiteley'],"[' (Steve Jobs)', ' (Steve Wozniak)', ' (Daniel Kottke)', ' (Bill Fernandez)', ' (Chris Espinosa)', ' (Rod Holt)', ' (Bill Atkinson)', ' (Andy Hertzfeld)', ' (Burrell Smith)']"
659,36m,['Karsten Geisnæs'],['Flemming Klem'],"[' (Christian)', ' (Annika)', ' (Felix)', ' (Mikkel)', ' (Sexolog)', ' (Lasses far)', ' (Lasses mor)', ' (Anton)']"
660,1h 58m,['Ning Hao'],"['Ning Hao', 'Shang Ke', 'Cui Siwei', 'Wang Hongwei', 'Shu Ping', 'Xing Aina']","[' (潘肖)', ' (詹铁军)', ' (杀手)', ' (娇娇)', ' (卡车司机)', ' (卡车司机)', ' (油站老板)', ' (油站老板娘)', ' (Ballet Teacher)']"
661,1h 30m,['Joseph Gordon-Levitt'],['Joseph Gordon-Levitt'],"[' (Jon Martello, Jr.)', ' (Barbara Sugarman)', ' (Esther)', ' (Jon Martello, Sr.)', ' (Angela Martello)', ' (Monica Martello)', ' (Lauren)', ' (Bobby)', ' (Danny)']"
662,1h 59m,"['Cho Ui-seok', 'Kim Byung-seo']",[],"[' (James)', ' (Chief Hwang)', ' (Ha Yoon-joo / ""Piglet"")', ' (Department Head Lee)', ' (Squirrel)', ' (Parrot)', ' (M3)', ' (Won Soong-i / ""Monkey"")', ' (Scarecrow)']"
663,2h,['Hirokazu Kore-eda'],[],"[' (野野宫良多)', ' (野野宫绿)', ' (斋木由加利)', ' (斋木雄大)', ' (野野宫信子)', ' (上山一至)', ' (石关里子)', ' (野野宫良辅)', ' (山边真一)']"
664,1h 50m,['Kobun Shizuno'],[],"[' (Conan Edogawa (voice))', ' (Shinichi Kudo (voice))', ' (Ran Mouri (voice))', ' (Kogoro Mouri (voice))', ' (Ai Haibara (voice))', ' (Hiroshi Agasa (voice))', ' (Ayumi Yoshida (voice))', ' (Genta Kojima / Wataru Takagi (voice))', ' (Mitsuhiko Tsuburaya (voice))']"
665,1h 37m,['Kim Byung-woo'],"['Kim Byung-woo', 'Kim Byung-woo']","[' (Yoon Young-hwa)', ' (Park Shin-woo (voice))', ' (Cha Dae-eun)', ' (Park Jeong-min)', ' (Park Shin-woo)', ' (Reporter Lee Ji-soo)', ' (Noh Hyeon-jin)', ' (Radio Producer)', ' (Newsroom Writer)']"
666,21m,['Jang Cho-hee'],['Jang Cho-hee'],"[' (Sun-mi)', ' (Da-Young)', ' (Baek-soo)']"
667,2h 9m,['Johnnie To Kei-Fung'],"['Yu Xi', 'Yau Nai-hoi', 'Ray Chan Wai-Ban', 'Wai Ka-fai']","[' (Johnston)', ' (Ho)', ' (Szeto Fatbo)', ' (Ding Ding)', ' (Joe)', ' (Minnie)', ' (Lee Tak Shing)', ' (Chan Kwong)', ' (Fat Guy)']"
668,1h 49m,['Allen Hughes'],['Brian Tucker'],"[' (Billy Taggart)', ' (Nicholas Hostetler)', ' (Cathleen Hostetler)', ' (Carl Fairbanks)', ' (Jack Valliant)', ' (Katy Bradshaw)', ' (Natalie Barrow)', ' (Tony Jansen)', ' (Paul Andrews)']"
669,1h 44m,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen']","[' (Llewyn Davis)', ' (Jean)', ' (Jim)', ' (Mitch Gorfein)', ' (Lillian Gorfein)', ' (Pappi Corsicato)', ' (Mel Novikoff)', ' (Joy)', ' (Al Cody)']"
670,1h 28m,['Pierre-François Martin-Laval'],"['Pierre-François Martin-Laval', 'Mathias Gavarry']","[' (Cutiro / Tirocu)', "" (Gladys, prof d'anglais)"", ' (Antoine Polochon)', ' (Boulard)', "" (L'adjoint)"", "" (Éric, prof d'EPS)"", ' (Amina, prof de français)', ' (Maurice, prof de philo)', ' (Albert, prof de chimie)']"
671,2h 10m,['Jeff Nichols'],['Jeff Nichols'],"[' (Mud)', ' (Juniper)', ' (Ellis)', ' (Neckbone)', ' (Tom)', ' (Senior)', ' (Mary Lee)', ' (Galen)', ' (King)']"
672,2h 9m,['Hiroshi Nishitani'],[],"[' (Manabu Yukawa)', ' (Misa Kishitani)', ' (Shumpei Kusanagi)', ' (Narumi Kawabata)', ' (Setsuko Kawabata)', ' (Hidetoshi Senba)', ' (Shigeharu Kawabata)', ' (Nobuko Miyake)', ' (Shoji Tsukahara)']"
673,1h 14m,['Leslie Small'],"['Joey Wells', 'Harry Ratchford', 'Kevin Hart']","[' (Himself)', ' (Dapper Guy)', ' (Disc Jockey)', ' (Angry Light-Skinned Girl)', ' (Plastic Cup Boyz)', ' (Plastic Cup Boyz)', ' (Plastic Cup Boyz)']"
674,2h 1m,['Masato Hijikata'],['Masato Hijikata'],"[' (Reiko Hosho)', ' (Kageyama)', ' (Kyoichiro Kazamatsuri)', ' (Takuya Todo (cabin manager))', ' (Rinko Todo)', ' (Tenmei Ishikawa)', ' (Shinnosuke Unabara (ship captain))', ' (Chika Yuki)', ' (Junichi Matsushige)']"
675,1h 44m,['Doug Dearth'],['Benjamin Suarez'],"[' (Michelle Stratton)', ' (Vince DeAntonio)', ' (Himself)', ' (Nancy Smith-Burkett)', ' (Bill Burkett)', ' (Bobby Burkett)', ' (John Handon II)', ' (John Handon III)', ' (Renee Donohue)']"
676,1h 34m,['Harmony Korine'],['Harmony Korine'],"[' (Brit)', ' (Candy)', ' (Alien)', ' (Cotty)', ' (Faith)', ' (Archie)', ' (Bess)', ' (Forest)', ' (ATL Twin)']"
677,2h 14m,['Park Hoon-jung'],[],"[' (Lee Ja-sung)', ' (Kang Hyung-chul)', ' (Jung Chung)', ' (Lee Joong-gu)', ' (Shin-woo)', ' (Seok-moo)', ' (Yang Moon-seok)', ' (Han Joo-kyung)', ' (Jang Su-ki)']"
678,1h 41m,['Oh Ki-hwan'],[],"[' (He Qiaoqiao)', ' (Li Xing)', ' (Zhou Rei)', ' (MaoMao)', "" (Li Xing's mother)"", ' (Classmate Da Pan)', ' (Chief from Japan)', ' (Shop owner)']"
679,1h 59m,['Xing Fei'],[],"[' (Lin Tai)', ' (Tong Tao)', ' (Zhou Li)', ' (Lin Mengmeng)', ' (Su Hong)', ' (TV Director Chen)', ' (Sun Wei)', ' (Li Xiao-Ni)', ' (Da Liu)']"
680,1h 38m,['Clarence Ford'],"['Szeto Kam-Yuen', 'Wang Xiaozhu', 'Tai-lee Chan', 'Qin Shuang']","[' (Dragon Chan)', ' (Fang Jing)', ' (Sunny)', ' (Captain Zhang)', "" (Amy (Long's Mother))"", ' (Cheung Mo-Hung)', ' (Lei Peng)', ' (Terry)', ' (Triad Mahjong Player)']"
681,2h,"['Til Schweiger', 'Torsten Künstler']",['Til Schweiger'],"[' (Henry)', ' (Magdalena)', ' (Katharina)', ' (Tristan)', ' (Max)', ' (Matthias Schweighöfer)', ' (Nicks Mutter)', ' (Handwerker)', ' (Groupie 2)']"
682,1h 29m,['Stuart Connelly'],[],"[' (The Suspect)', ' (Sheriff Dixon)', ' (Deputy Riley)', ' (Polaski Sheriff)', ' (Shannon)', ' (Meredith)', ' (Printer)', ' (Motel Receptionist)', ' (Truck Driver)']"
683,1h 57m,"['Gordon Chan', 'Janet Chun Siu-Chun']",['Gordon Chan'],"[' (Cold Blooded)', ' (Emotionless)', ' (Zhuge Zhenwo)', ' (Iron Hand)', ' (Life Snatcher)', ' (Ji Yaohua)', ' (Duke Westgate)', ' (Lord Liu/Sheriff King)', ' (Lord An Shigeng/The God of Wealth)']"
684,2h 15m,['Koki Mitani'],['Koki Mitani'],"[' (Nagahide Niwa)', ' (Katsuie Shibata)', ' (Hideyoshi Toyotomi)', ' (Oichi)', ' (Tsuneoki Ikeda)', ' (Nobunaga Oda)', ' (Nobukane Oda)', "" (Hideyoshi Toyotomi's wife)"", ' (Nobutada Oda)']"
