,runtime,director,writer,actors
22,1h 40m,['Phillip Noyce'],['Kurt Wimmer'],"[' (Evelyn Salt)', ' (Theodore Winter)', ' (Darryl Peabody)', ' (Oleg Vasilyevich Orlov)', ' (Mike Krause)', ' (Young Orlov)', ' (US President Howard Lewis)', ' (Secretary of Defense)', ' (Russian President Matveyev)']"
23,2h 27m,['Michael Patrick King'],['Michael Patrick King'],"[' (Carrie Bradshaw)', ' (Samantha Jones)', ' (Charlotte York)', ' (Miranda Hobbes)', ' (Mr. Big)', ' (Steve Brady)', ' (Harry Goldenblatt)', ' (Self)', ' (Stanford Blatch)']"
24,1h 43m,['Florian Henckel von Donnersmarck'],[],"[' (Frank Tupelo)', ' (Elise Clifton-Ward)', ' (Inspector John Acheson)', ' (Chief Inspector Jones)', ' (Reginald Shaw)', ' (The Englishman)', ' (Colonnello Lombardi)', ' (Sergente Cerato)', ' (Tenente Narduzzi)']"
25,1h 43m,['Sylvester Stallone'],['Dave Callaham'],"[' (Barney Ross)', ' (Lee Christmas)', ' (Yin Yang)', ' (Gunner Jensen)', ' (James Monroe)', ' (Toll Road)', ' (Paine)', ' (General Garza)', ' (Sandra)']"
26,1h 42m,['Dennis Dugan'],"['Fred Wolf', 'Adam Sandler']","[' (Lenny Feder)', ' (Eric Lamonsoff)', ' (Kurt McKenzie)', ' (Marcus Higgins)', ' (Rob Hilliard)', ' (Roxanne Chase-Feder)', ' (Sally Lamonsoff)', ' (Deanne McKenzie)', ' (Gloria)']"
27,1h 50m,"['Joel Coen', 'Ethan Coen']",[],"[' (Rooster Cogburn)', ' (Mattie Ross)', ' (LaBoeuf)', ' (Tom Chaney)', ' (Lucky Ned Pepper)', ' (Col. Stonehill)', ' (Undertaker)', ' (Emmett Quincy)', ' (Moon (The Kid))']"
28,1h 25m,['Rob Letterman'],[],"[' (Lemuel Gulliver)', ' (Horatio)', ' (Princess Mary)', ' (Darcy Silverman)', ' (King Theodore)', ' (General Edward)', ' (Dan)', ' (Jinks)', ' (Queen Isabel)']"
29,1h 58m,['Chris Columbus'],[],"[' (Percy Jackson)', ' (Grover Underwood)', ' (Annabeth Chase)', ' (Luke Castellan)', ' (Mr. Brunner / Chiron)', ' (Zeus)', ' (Hades)', ' (Persephone)', ' (Athena)']"
30,2h 1m,['David Fincher'],[],"[' (Mark Zuckerberg)', ' (Eduardo Saverin)', ' (Cameron Winklevoss / Tyler Winklevoss)', ' (Sean Parker)', ' (Divya Narendra)', ' (Tyler Winklevoss)', ' (Christy Lee)', ' (Marylin Delpy)', ' (Sy)']"
31,2h 5m,['Garry Marshall'],"['Katherine Fugate', 'Marc Silverstein', 'Abby Kohn']","[' (Captain Kate Hazeltine)', ' (Holden Wilson)', ' (Liz Curran)', ' (Dr. Harrison Copeland)', ' (Sean Jackson)', ' (Kara Monahan)', ' (Grace Smart)', ' (Felicia Miller)', ' (Morley Clarkson)']"
32,1h 49m,['Jon Turteltaub'],"['Mark Rosenthal', 'Matt Lopez', 'Lawrence Konner']","[' (Dave Stutler)', ' (Balthazar Blake)', ' (Maxim Horvath)', ' (Becky Barnes)', ' (Drake Stone)', ' (Bennet)', ' (Veronica Gorloisen)', ' (Young Dave)', ' (Morgana le Fay)']"
33,1h 35m,['Todd Phillips'],"['Alan R. Cohen', 'Alan Freedland']","[' (Peter Highman)', ' (Ethan Tremblay)', ' (Sarah Highman)', ' (Darryl)', ' (Heidi)', ' (Lonnie)', ' (Airport Screener)', ' (TSA Agent)', ' (Limo Driver)']"
34,2h 13m,['Ryan Murphy'],[],"["" (Elisabeth 'Liz' Gilbert)"", ' (Felipe)', ' (David)', ' (Steven)', ' (Richard)', ' (Delia Shiraz)', ' (Nyomo)', ' (Ketut Liyer)', ' (Andre)']"
35,1h 20m,['Eric Brevig'],"['Joshua Sternin', 'Jennifer Ventimilia', 'Brad Copeland']","[' (Yogi Bear (voice))', ' (Boo-Boo Bear (voice))', ' (Rachel)', ' (Ranger Smith)', ' (Ranger Jones)', ' (Chief of Staff)', ' (Mayor Brown)', "" (Mayor's Tailor)"", ' (Dirty Shopper)']"
