tconst,ori_release_group,Sport,Sci-Fi,Thriller,Drama,Adventure,Romance,Mystery,War,Action,Animation,Comedy,Crime,Family,Biography,History,Documentary,Musical,Western,Horror,Fantasy,Music,runtime_0-10,runtime_10-20,runtime_20-30,runtime_30-40,runtime_40-50,runtime_50-60,runtime_60-70,runtime_70-80,runtime_80-90,runtime_90-100,runtime_100-110,runtime_110-120,runtime_120-130,runtime_130-140,runtime_140-150,runtime_150-160,runtime_160-170,runtime_170-180,runtime_180-190,runtime_190-200,runtime_200-210,April,August,December,February,January,July,June,March,May,November,October,September,crew_frequency,director_frequency,writer_frequency,distributor_frequency,above_w_avg_rating
tt1130884,Shutter Island,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,4.0,0.0,101.0,1
tt0944835,Salt,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,2.0,1.0,101.0,1
tt1261945,Sex and the City 2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.0,187.0,0
tt1243957,The Tourist,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,1.0,0.0,101.0,0
tt1320253,The Expendables,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,115.0,0
tt1375670,Grown Ups,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.0,4.0,0.0,101.0,0
tt1403865,True Grit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0.0,101.0,1
tt1320261,Gulliver's Travels,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3.0,0.0,113.0,0
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,1.0,0.0,113.0,0
tt1285016,The Social Network,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,3.0,0.0,101.0,1
